Datum;Last (MW);Erzeugung (MW);Importe (MW)
24.04.2021 00:00;1144.649;291.090;917.437
25.04.2021 00:00;1120.466;294.427;890.023
26.04.2021 00:00;1276.250;317.378;1022.012
27.04.2021 00:00;1262.338;323.431;1004.845
28.04.2021 00:00;1280.572;310.123;1038.549
29.04.2021 00:00;1276.873;332.610;1009.579
30.04.2021 00:00;1270.970;310.335;1021.536
01.05.2021 00:00;1105.132;257.628;906.002
02.05.2021 00:00;1088.659;273.892;876.892
03.05.2021 00:00;1274.351;290.368;1049.162
04.05.2021 00:00;1292.986;325.901;1035.206
05.05.2021 00:00;1298.537;337.228;1017.004
06.05.2021 00:00;1248.907;284.748;1023.524
07.05.2021 00:00;1285.399;270.060;1077.504
08.05.2021 00:00;1158.386;211.088;1005.940
09.05.2021 00:00;1132.283;172.582;1021.442
10.05.2021 00:00;1274.197;163.168;1173.572
11.05.2021 00:00;1269.365;157.479;1172.473
12.05.2021 00:00;1236.936;142.488;1159.526
13.05.2021 00:00;1148.645;133.331;1078.301
14.05.2021 00:00;1203.071;141.771;1125.070
15.05.2021 00:00;1141.974;127.481;1075.881
16.05.2021 00:00;1078.227;99.200;1040.819
17.05.2021 00:00;1289.220;128.119;1227.078
18.05.2021 00:00;1290.880;132.546;1226.626
19.05.2021 00:00;1275.988;130.176;1212.456
20.05.2021 00:00;1282.564;131.119;1215.714
21.05.2021 00:00;1290.371;157.435;1195.461
22.05.2021 00:00;1196.840;171.516;1095.002
23.05.2021 00:00;1133.920;154.739;1046.115
24.05.2021 00:00;1172.124;155.913;1087.243
25.05.2021 00:00;1282.436;144.354;1204.681
26.05.2021 00:00;1295.071;162.983;1200.300
27.05.2021 00:00;1296.337;192.802;1182.550
28.05.2021 00:00;1329.479;222.358;1184.475
29.05.2021 00:00;1236.493;218.445;1102.203
30.05.2021 00:00;1169.024;213.998;1026.829
31.05.2021 00:00;1343.897;214.249;1204.313
01.06.2021 00:00;1353.618;211.828;1220.791
02.06.2021 00:00;1331.003;193.754;1200.989
03.06.2021 00:00;1276.434;147.559;1194.874
04.06.2021 00:00;1302.736;133.312;1235.061
05.06.2021 00:00;1202.247;138.775;1119.810
06.06.2021 00:00;1155.349;124.104;1080.616
07.06.2021 00:00;1236.836;125.679;1162.075
08.06.2021 00:00;1233.729;128.469;1153.330
09.06.2021 00:00;1242.995;129.588;1167.541
10.06.2021 00:00;1265.514;180.479;1154.816
11.06.2021 00:00;1300.635;237.627;1133.673
12.06.2021 00:00;1158.781;170.884;1054.477
13.06.2021 00:00;1098.719;174.077;987.181
14.06.2021 00:00;1279.427;231.563;1120.315
15.06.2021 00:00;1290.488;252.431;1106.750
16.06.2021 00:00;1267.492;253.245;1086.654
17.06.2021 00:00;1340.041;252.624;1156.215
18.06.2021 00:00;1350.141;242.179;1174.709
19.06.2021 00:00;1212.628;203.209;1071.588
20.06.2021 00:00;1138.384;201.848;1003.371
21.06.2021 00:00;1305.831;205.103;1173.314
22.06.2021 00:00;1262.747;232.569;1084.999
23.06.2021 00:00;1231.492;248.957;1047.531
24.06.2021 00:00;1285.784;294.585;1060.562
25.06.2021 00:00;1253.980;248.051;1070.807
26.06.2021 00:00;1139.648;201.243;998.858
27.06.2021 00:00;1097.636;196.829;966.860
28.06.2021 00:00;1305.078;256.254;1121.259
29.06.2021 00:00;1310.755;256.252;1117.113
30.06.2021 00:00;1321.443;243.158;1149.744
01.07.2021 00:00;1276.947;221.596;1128.495
02.07.2021 00:00;1276.718;234.938;1113.480
03.07.2021 00:00;1163.404;151.944;1074.415
04.07.2021 00:00;1107.658;126.090;1050.443
05.07.2021 00:00;1286.293;161.534;1193.772
06.07.2021 00:00;1311.898;187.912;1197.083
07.07.2021 00:00;1299.114;170.210;1200.576
08.07.2021 00:00;1291.820;178.388;1188.000
09.07.2021 00:00;1300.332;156.940;1213.417
10.07.2021 00:00;1152.764;153.839;1060.091
11.07.2021 00:00;1108.718;142.069;1034.223
12.07.2021 00:00;1305.431;213.154;1158.186
13.07.2021 00:00;1341.534;210.891;1204.545
14.07.2021 00:00;1340.924;236.620;1178.783
15.07.2021 00:00;1304.906;217.268;1162.280
16.07.2021 00:00;1331.665;213.910;1187.099
17.07.2021 00:00;1183.721;152.890;1094.797
18.07.2021 00:00;1125.745;148.151;1045.225
19.07.2021 00:00;1273.812;174.792;1165.944
20.07.2021 00:00;1286.644;160.303;1194.271
21.07.2021 00:00;1299.610;174.012;1189.207
22.07.2021 00:00;1254.323;196.684;1127.836
23.07.2021 00:00;1261.110;164.895;1163.556
24.07.2021 00:00;1150.975;175.723;1039.767
25.07.2021 00:00;1131.632;170.118;1025.556
26.07.2021 00:00;1300.802;168.776;1199.336
27.07.2021 00:00;1299.579;197.843;1166.929
28.07.2021 00:00;1314.547;180.606;1202.634
29.07.2021 00:00;1251.976;203.042;1115.604
30.07.2021 00:00;1273.318;202.491;1136.832
31.07.2021 00:00;1187.580;194.523;1054.525
01.08.2021 00:00;1123.928;167.824;1013.932
02.08.2021 00:00;1277.471;197.723;1146.795
03.08.2021 00:00;1305.532;190.194;1180.844
04.08.2021 00:00;1305.947;200.091;1171.281
05.08.2021 00:00;1281.521;185.303;1165.433
06.08.2021 00:00;1318.751;198.049;1188.253
07.08.2021 00:00;1195.190;166.499;1092.860
08.08.2021 00:00;1148.286;184.667;1028.911
09.08.2021 00:00;1308.576;210.274;1147.580
10.08.2021 00:00;1279.717;224.566;1121.493
11.08.2021 00:00;1281.295;256.803;1091.746
12.08.2021 00:00;1335.127;200.959;1201.313
13.08.2021 00:00;1326.919;204.214;1188.468
14.08.2021 00:00;1168.867;153.151;1063.183
15.08.2021 00:00;1130.770;129.844;1068.738
16.08.2021 00:00;1277.496;208.862;1141.667
17.08.2021 00:00;1299.321;219.965;1152.510
18.08.2021 00:00;1307.252;204.052;1177.467
19.08.2021 00:00;1284.436;183.509;1168.977
20.08.2021 00:00;1306.789;184.026;1190.457
21.08.2021 00:00;1175.093;157.691;1078.043
22.08.2021 00:00;1130.333;160.584;1034.762
23.08.2021 00:00;1288.300;217.151;1140.882
24.08.2021 00:00;1296.274;195.973;1168.765
25.08.2021 00:00;1306.608;198.362;1180.201
26.08.2021 00:00;1273.978;221.150;1126.659
27.08.2021 00:00;1309.424;192.408;1182.323
28.08.2021 00:00;1184.899;140.928;1110.271
29.08.2021 00:00;1149.101;141.161;1072.682
30.08.2021 00:00;1305.157;166.572;1210.264
31.08.2021 00:00;1311.736;195.041;1190.910
01.09.2021 00:00;1315.944;192.369;1193.981
02.09.2021 00:00;1281.423;171.587;1176.466
03.09.2021 00:00;1283.365;194.775;1157.864
04.09.2021 00:00;1173.537;174.084;1064.598
05.09.2021 00:00;1132.497;180.261;1015.793
06.09.2021 00:00;1287.296;221.004;1122.869
07.09.2021 00:00;1293.024;275.693;1081.059
08.09.2021 00:00;1325.148;256.267;1129.724
09.09.2021 00:00;1311.822;302.918;1060.653
10.09.2021 00:00;1333.370;356.675;1033.209
11.09.2021 00:00;1224.945;346.320;936.110
12.09.2021 00:00;1159.546;278.665;939.192
13.09.2021 00:00;1307.909;378.659;984.757
14.09.2021 00:00;1256.095;434.908;864.016
15.09.2021 00:00;1257.647;473.260;835.683
16.09.2021 00:00;1253.812;433.209;865.834
17.09.2021 00:00;1238.099;421.750;858.724
18.09.2021 00:00;1129.020;331.807;844.426
19.09.2021 00:00;1068.527;305.743;807.033
20.09.2021 00:00;1242.389;369.030;921.690
21.09.2021 00:00;1261.600;365.153;946.889
22.09.2021 00:00;1243.497;377.187;913.206
23.09.2021 00:00;1256.841;347.254;974.988
24.09.2021 00:00;1295.354;373.634;974.855
25.09.2021 00:00;1261.139;326.410;934.728
26.09.2021 00:00;1158.144;296.337;937.835
27.09.2021 00:00;1345.964;339.154;1083.024
28.09.2021 00:00;1287.608;358.389;1000.575
29.09.2021 00:00;1337.254;307.573;1109.723
30.09.2021 00:00;1320.676;343.099;1057.310
01.10.2021 00:00;1310.819;299.713;1082.984
02.10.2021 00:00;1199.857;258.417;1012.794
03.10.2021 00:00;1155.590;271.199;961.519
04.10.2021 00:00;1284.701;439.550;916.916
05.10.2021 00:00;1317.454;427.500;952.066
06.10.2021 00:00;1304.480;485.499;888.680
07.10.2021 00:00;1268.553;491.338;822.625
08.10.2021 00:00;1273.815;425.632;921.622
09.10.2021 00:00;1147.504;341.520;881.224
10.10.2021 00:00;1130.238;324.717;867.457
11.10.2021 00:00;1273.340;408.183;937.001
12.10.2021 00:00;1284.258;395.193;961.332
13.10.2021 00:00;1322.622;399.162;995.990
14.10.2021 00:00;1298.629;379.636;990.883
15.10.2021 00:00;1275.103;366.498;980.792
16.10.2021 00:00;1181.761;390.896;852.685
17.10.2021 00:00;1148.878;323.906;885.325
18.10.2021 00:00;1294.296;371.605;995.011
19.10.2021 00:00;1329.885;345.573;1060.275
20.10.2021 00:00;1309.338;290.981;1081.139
21.10.2021 00:00;1339.966;344.030;1060.912
22.10.2021 00:00;1325.995;359.274;1021.343
